species,iteration,maxfish,minrec,asympLen,growthCoef,lenWtPower,lenWtCoef,maxage,minsize,bgResource
Gadus_morhua,2,0.02,3.263814291226804e-05,[110.03925234  29.12598774],[0.18537383 0.08534796],3.0689124738298323,0.007329635761257957,25,2.7004950118906397,18179.0
Thunnus_maccoyii,6,0.05,6.7911207554701694e-06,[228.6         24.16195356],[0.1444     0.02791595],3.035895171000472,0.0184102258470142,20,53.45609555489447,653808.0
Micromesistius_poutassou,9,0.060000000000000005,0.0012314867823234102,[36.91538462  5.79804742],[0.31853846 0.19533054],3.157609759595721,0.0038055149727471574,20,0.06761963228146486,217.0
Gadus_morhua,7,0.01,3.263814291226804e-05,[110.03925234  29.12598774],[0.18537383 0.08534796],3.070776252701684,0.0072825839634969095,25,2.706770781949835,18230.0
Engraulis_encrasicolus,3,0.13999999999999999,0.05421850506342622,[18.2779661   2.91945601],[0.60098305 0.44710407],3.0429308647964395,0.005782289221311335,5,0.007999982990568677,16.0
Melanogrammus_aeglefinus,3,0.0,0.00013976917323532678,[69.92822222 13.0720669 ],[0.26293333 0.15285338],3.1315950239238193,0.0058162889323402885,20,0.6956335482614086,3570.0
Gadus_morhua,9,0.01,3.263814291226804e-05,[110.03925234  29.12598774],[0.18537383 0.08534796],3.0737650291129737,0.007207760909027359,25,2.7168651368473995,18311.0
Melanogrammus_aeglefinus,4,0.0,0.00013976917323532678,[69.92822222 13.0720669 ],[0.26293333 0.15285338],3.13208206095475,0.005806693783475448,20,0.695924112219857,3572.0
Micromesistius_poutassou,4,0.060000000000000005,0.0012314867823234102,[36.91538462  5.79804742],[0.31853846 0.19533054],3.1548186938022136,0.0038384751371841864,20,0.06752178623292858,217.0
Melanogrammus_aeglefinus,2,0.03,0.00013976917323532678,[69.92822222 13.0720669 ],[0.26293333 0.15285338],3.142975920497467,0.005596161705593909,20,0.7024551492833947,3612.0
Gadus_morhua,8,0.02,3.263814291226804e-05,[110.03925234  29.12598774],[0.18537383 0.08534796],3.0708440511029513,0.007280878072710867,25,2.706999349398364,18232.0
Melanogrammus_aeglefinus,6,0.0,0.00013976917323532678,[69.92822222 13.0720669 ],[0.26293333 0.15285338],3.1298527496834483,0.005850743587048474,20,0.6945951086850572,3563.0
Melanogrammus_aeglefinus,7,0.0,0.00011211577294734905,[69.92822222 13.0720669 ],[0.26293333 0.15285338],3.134939622426042,0.005750714814751067,20,0.6976313664106147,3582.0
Engraulis_encrasicolus,7,0.11999999999999998,0.05421850506342622,[18.2779661   2.91945601],[0.60098305 0.44710407],3.0499116896474097,0.005675985196062323,5,0.008013824078647433,16.0
Melanogrammus_aeglefinus,10,0.0,0.00013976917323532678,[69.92822222 13.0720669 ],[0.26293333 0.15285338],3.1300717513757323,0.005846401489582974,20,0.6947255540116292,3564.0
Thunnus_maccoyii,8,0.05,6.7911207554701694e-06,[228.6         24.16195356],[0.1444     0.02791595],3.0365871015976986,0.018362613810614957,20,53.51862363598656,654726.0
Gadus_macrocephalus,1,0.02,4.524911983586882e-05,[97.1375     21.47409985],[0.257      0.17390884],3.0158572486932926,0.01008431644430097,25,1.987704017714078,12585.0
Melanogrammus_aeglefinus,9,0.01,0.00013976917323532678,[69.92822222 13.0720669 ],[0.26293333 0.15285338],3.1323171235526535,0.005802068464738474,20,0.6960643928600447,3573.0
Thunnus_maccoyii,3,0.08,6.7911207554701694e-06,[228.6         24.16195356],[0.1444     0.02791595],3.0416376331215207,0.018018793955822777,20,53.97724860854992,661465.0
Gadus_macrocephalus,2,0.01,4.524911983586882e-05,[97.1375     21.47409985],[0.257      0.17390884],3.0267397664452984,0.00972254655240975,25,2.0142485281238502,12787.0
Gadus_macrocephalus,6,0.01,4.524911983586882e-05,[97.1375     21.47409985],[0.257      0.17390884],2.987610509649248,0.01108739429248526,25,1.9204258481351173,12076.0
